genus,family,order
Palustriella,Amblystegiaceae,
Sanionia,Amblystegiaceae,
Pellia,Pelliaceae,
Callicostella,Pilotrichaceae,
Dicranum,,
Hamatocaulis,,
Hylocomium,,
Hypnum,,
Jaegerina,,
Marchantia,,
Philonotis,,
Plagiothecium,,
Pleurozium,,
Polytrichum,,
Rhacomitrium,,
Sphagnum,,
Tomenthypnum,,
Anthoceros,Anthocerotaceae,
Phaeoceros,Notothyladaceae,
Aneura,Aneuraceae,
Riccardia,Aneuraceae,
Blasia,Blasiaceae,
Conocephalum,Conocephalaceae,
Chiloscyphus,Geocalycaceae,
Gymnomitrion,Gymnomitriaceae,
Haplomitrium,Haplomitriaceae,
Frullania,Jubulaceae,
Jubula,Jubulaceae,
Cololejeunea,Lejeuneaceae,
Lejeunea,Lejeuneaceae,
Bazzania,Lepidoziaceae,
Kurzia,Lepidoziaceae,
Apometzgeria,Metzgeriaceae,
Metzgeria,Metzgeriaceae,
Plagiochila,Plagiochilaceae,
Porella,Porellaceae,
Radula,Radulaceae,
Riccia,Ricciaceae,
Scapania,Scapaniaceae,
Anastrophyllum,,
Asterella,,
Barbilophozia,,
Blepharostoma,,
Cephalozia,,
Cephaloziella,,
Cladopodiella,,
Cryptothallus,,
Diplophyllum,,
Douinia,,
Drepanolejeunea,,
Fossombronia,,
Geocalyx,,
Harpalejeunea,,
Harpanthus,,
Herbertus,,
Jamesoniella,,
Jungermannia,,
Lepidozia,,
Leptoscyphus,,
Lophocolea,,
Lophozia,,
Lunularia,,
Marsupella,,
Mylia,,
Nardia,,
Nowellia,,
Odontoschisma,,
Pedinophyllum,,
Reboulia,,
Saccogyna,,
Southbya,,
Telaranea,,
Anomodon,Anomodontaceae,
Brachythecium,Brachytheciaceae,
Calymperes,Calymperaceae,
Entosthodon,Funariaceae,
Physcomitrella,Funariaceae,
Leucobryum,Leucobryaceae,
Pohlia,Mniaceae,
Tortula,Pottiaceae,
Sematophyllum,Sematophyllaceae,
Globeria,Asparagaceae,Asparagales
Tricalistra,Asparagaceae,Asparagales
Cibotium,Cibotiaceae,Cyatheales
Culcita,Culcitaceae,Cyatheales
Alsophila,Cyatheaceae,Cyatheales
Cyathea,Cyatheaceae,Cyatheales
Hymenophyllopsis,Cyatheaceae,Cyatheales
Sphaeropteris,Cyatheaceae,Cyatheales
Calochlaena,Dicksoniaceae,Cyatheales
Dicksonia,Dicksoniaceae,Cyatheales
Lophosoria,Dicksoniaceae,Cyatheales
Loxoma,Loxomataceae,Cyatheales
Loxsomopsis,Loxomataceae,Cyatheales
Metaxya,Metaxyaceae,Cyatheales
Plagiogyria,Plagiogyriaceae,Cyatheales
Thyrsopteris,Thyrsopteridaceae,Cyatheales
Equisetum,Equisetaceae,Equisetales
Hymenandra,Myrsinaceae,Ericales
Cheiropleuria,Dipteridaceae,Gleicheniales
Dipteris,Dipteridaceae,Gleicheniales
Dicranopteris,Gleicheniaceae,Gleicheniales
Diplopterygium,Gleicheniaceae,Gleicheniales
Gleichenella,Gleicheniaceae,Gleicheniales
Gleichenia,Gleicheniaceae,Gleicheniales
Hicriopteris,Gleicheniaceae,Gleicheniales
Sticherus,Gleicheniaceae,Gleicheniales
Stromatopteris,Gleicheniaceae,Gleicheniales
Matonia,Matoniaceae,Gleicheniales
Phanerosorus,Matoniaceae,Gleicheniales
Abrodictyum,Hymenophyllaceae,Hymenophyllales
Callistopteris,Hymenophyllaceae,Hymenophyllales
Cephalomanes,Hymenophyllaceae,Hymenophyllales
Crepidomanes,Hymenophyllaceae,Hymenophyllales
Didymoglossum,Hymenophyllaceae,Hymenophyllales
Hymenophyllum,Hymenophyllaceae,Hymenophyllales
Polyphlebium,Hymenophyllaceae,Hymenophyllales
Selenodesmium,Hymenophyllaceae,Hymenophyllales
Trichomanes,Hymenophyllaceae,Hymenophyllales
Vandenboschia,Hymenophyllaceae,Hymenophyllales
Isoetes,Isoetaceae,Isoetales
Diphasiastrum,Lycopodiaceae,Lycopodiales
Huperzia,Lycopodiaceae,Lycopodiales
Lycopodiella,Lycopodiaceae,Lycopodiales
Lycopodium,Lycopodiaceae,Lycopodiales
Phylloglossum,Lycopodiaceae,Lycopodiales
Angiopteris,Marattiaceae,Marattiales
Christensenia,Marattiaceae,Marattiales
Danaea,Marattiaceae,Marattiales
Maratha,Marattiaceae,Marattiales
Marattia,Marattiaceae,Marattiales
Botrychium,Ophioglossaceae,Ophioglossales
Helminthostachys,Ophioglossaceae,Ophioglossales
Lunaria,Ophioglossaceae,Ophioglossales
Mankyua,Ophioglossaceae,Ophioglossales
Ophioglossum,Ophioglossaceae,Ophioglossales
Leptopteris,Osmundaceae,Osmundales
Osmunda,Osmundaceae,Osmundales
Todea,Osmundaceae,Osmundales
Asplenium,Aspleniaceae,Polypodiales
Ceterach,Aspleniaceae,Polypodiales
Hymenasplenium,Aspleniaceae,Polypodiales
Blechnum,Blechnaceae,Polypodiales
Brainea,Blechnaceae,Polypodiales
Doodia,Blechnaceae,Polypodiales
Pteridoblechnum,Blechnaceae,Polypodiales
Sadleria,Blechnaceae,Polypodiales
Salpichlaena,Blechnaceae,Polypodiales
Steenisioblechnum,Blechnaceae,Polypodiales
Stenochlaena,Blechnaceae,Polypodiales
Struthiopteris,Blechnaceae,Polypodiales
Woodwardia,Blechnaceae,Polypodiales
Araiostegia,Davalliaceae,Polypodiales
Davallia,Davalliaceae,Polypodiales
Davallodes,Davalliaceae,Polypodiales
Pachypleuria,Davalliaceae,Polypodiales
Blotiella,Dennstaedtiaceae,Polypodiales
Coptodipteris,Dennstaedtiaceae,Polypodiales
Dennstaedtia,Dennstaedtiaceae,Polypodiales
Histiopteris,Dennstaedtiaceae,Polypodiales
Hypolepis,Dennstaedtiaceae,Polypodiales
Leptolepia,Dennstaedtiaceae,Polypodiales
