genus,family,order
Microlepia,Dennstaedtiaceae,Polypodiales
Monachosorum,Dennstaedtiaceae,Polypodiales
Oenotrichia,Dennstaedtiaceae,Polypodiales
Paesia,Dennstaedtiaceae,Polypodiales
Pteridium,Dennstaedtiaceae,Polypodiales
Stenoloma,Dennstaedtiaceae,Polypodiales
Acrophorus,Dryopteridaceae,Polypodiales
Acrorumohra,Dryopteridaceae,Polypodiales
Adenoderris,Dryopteridaceae,Polypodiales
Arachniodes,Dryopteridaceae,Polypodiales
Ataxipteris,Dryopteridaceae,Polypodiales
Bolbitis,Dryopteridaceae,Polypodiales
Coveniella,Dryopteridaceae,Polypodiales
Ctenitis,Dryopteridaceae,Polypodiales
Cyclodium,Dryopteridaceae,Polypodiales
Cyrtogonellum,Dryopteridaceae,Polypodiales
Cyrtomidictyum,Dryopteridaceae,Polypodiales
Cyrtomium,Dryopteridaceae,Polypodiales
Didymochlaena,Dryopteridaceae,Polypodiales
Dryopolystichum,Dryopteridaceae,Polypodiales
Dryopsis,Dryopteridaceae,Polypodiales
Dryopteris,Dryopteridaceae,Polypodiales
Elaphoglossum,Dryopteridaceae,Polypodiales
Lastreopsis,Dryopteridaceae,Polypodiales
Leucostegia,Dryopteridaceae,Polypodiales
Lithostegia,Dryopteridaceae,Polypodiales
Lomagramma,Dryopteridaceae,Polypodiales
Maxonia,Dryopteridaceae,Polypodiales
Megalastrum,Dryopteridaceae,Polypodiales
Oenotrichia p.p,Dryopteridaceae,Polypodiales
Olfersia,Dryopteridaceae,Polypodiales
Peranema,Dryopteridaceae,Polypodiales
Phanerophlebia,Dryopteridaceae,Polypodiales
Polybotrya,Dryopteridaceae,Polypodiales
Polystichopsis,Dryopteridaceae,Polypodiales
Polystichum,Dryopteridaceae,Polypodiales
Revwattsia,Dryopteridaceae,Polypodiales
Rumohra,Dryopteridaceae,Polypodiales
Stenolepia,Dryopteridaceae,Polypodiales
Stigmatopteris,Dryopteridaceae,Polypodiales
Teratophyllum,Dryopteridaceae,Polypodiales
Trichoneuron,Dryopteridaceae,Polypodiales
Hypodematium,Hypodematiaceae,Polypodiales
Cystodium,Lindsaeaceae,Polypodiales
Lindsaea,Lindsaeaceae,Polypodiales
Odontosoria,Lindsaeaceae,Polypodiales
Ormoloma,Lindsaeaceae,Polypodiales
Sphenomeris,Lindsaeaceae,Polypodiales
Tapeinidium,Lindsaeaceae,Polypodiales
Xyropteris,Lindsaeaceae,Polypodiales
Cyclopeltis,Lomariopsidaceae,Polypodiales
Lomariopsis,Lomariopsidaceae,Polypodiales
Thysanosoria,Lomariopsidaceae,Polypodiales
Lonchitis,Lonchitidaceae,Polypodiales
Nephrolepis,Nephrolepidaceae,Polypodiales
Oleandra,Oleandraceae,Polypodiales
Matteuccia,Onocleaceae,Polypodiales
Onoclea,Onocleaceae,Polypodiales
Onocleopsis,Onocleaceae,Polypodiales
Pentarhizidium,Onocleaceae,Polypodiales
Acrosorus,Polypodiaceae,Polypodiales
Adenophorus,Polypodiaceae,Polypodiales
Aglaomorpha,Polypodiaceae,Polypodiales
Arthromeris,Polypodiaceae,Polypodiales
Belvisia,Polypodiaceae,Polypodiales
Calymmodon,Polypodiaceae,Polypodiales
Campyloneurum,Polypodiaceae,Polypodiales
Caobangia,Polypodiaceae,Polypodiales
Ceradenia,Polypodiaceae,Polypodiales
Christiopteris,Polypodiaceae,Polypodiales
Chrysogrammitis,Polypodiaceae,Polypodiales
Cochlidium,Polypodiaceae,Polypodiales
Colysis,Polypodiaceae,Polypodiales
Crypsinus,Polypodiaceae,Polypodiales
Ctenopteris,Polypodiaceae,Polypodiales
Dicranoglossum,Polypodiaceae,Polypodiales
Dictymia,Polypodiaceae,Polypodiales
Drymotaenium,Polypodiaceae,Polypodiales
Drynaria,Polypodiaceae,Polypodiales
Enterosora,Polypodiaceae,Polypodiales
Goniophlebium,Polypodiaceae,Polypodiales
Grammitis,Polypodiaceae,Polypodiales
Gymnogrammitis,Polypodiaceae,Polypodiales
Kontumia,Polypodiaceae,Polypodiales
Lecanopteris,Polypodiaceae,Polypodiales
Lellingeria,Polypodiaceae,Polypodiales
Lemmaphyllum,Polypodiaceae,Polypodiales
Lepidogrammitis,Polypodiaceae,Polypodiales
Lepisorus,Polypodiaceae,Polypodiales
Leptochilus,Polypodiaceae,Polypodiales
Loxogramme,Polypodiaceae,Polypodiales
Luisma,Polypodiaceae,Polypodiales
Melpomene,Polypodiaceae,Polypodiales
Microgramma,Polypodiaceae,Polypodiales
Micropolypodium,Polypodiaceae,Polypodiales
Microsorium,Polypodiaceae,Polypodiales
Microsorum,Polypodiaceae,Polypodiales
Neocheiropteris,Polypodiaceae,Polypodiales
Neolepisorus,Polypodiaceae,Polypodiales
Neurodium,Polypodiaceae,Polypodiales
Niphidium,Polypodiaceae,Polypodiales
Pecluma,Polypodiaceae,Polypodiales
Phlebodium,Polypodiaceae,Polypodiales
Phymatosorus,Polypodiaceae,Polypodiales
Platycerium,Polypodiaceae,Polypodiales
Pleopeltis,Polypodiaceae,Polypodiales
Pleurosoriopsis,Polypodiaceae,Polypodiales
Podosorus,Polypodiaceae,Polypodiales
Polypodiodes,Polypodiaceae,Polypodiales
Polypodioides,Polypodiaceae,Polypodiales
Polypodiopteris,Polypodiaceae,Polypodiales
Polypodium,Polypodiaceae,Polypodiales
Prosaptia,Polypodiaceae,Polypodiales
Pyrrosia,Polypodiaceae,Polypodiales
Selliguea,Polypodiaceae,Polypodiales
Serpocaulon,Polypodiaceae,Polypodiales
Synammia,Polypodiaceae,Polypodiales
Terpsichore,Polypodiaceae,Polypodiales
Themelium,Polypodiaceae,Polypodiales
Thylacopteris,Polypodiaceae,Polypodiales
Tricholepidium,Polypodiaceae,Polypodiales
Xiphopteris,Polypodiaceae,Polypodiales
Zygophlebia,Polypodiaceae,Polypodiales
Acrostichum,Pteridaceae,Polypodiales
Actiniopteris,Pteridaceae,Polypodiales
Adiantopsis,Pteridaceae,Polypodiales
Adiantum,Pteridaceae,Polypodiales
Aleuritopteris,Pteridaceae,Polypodiales
Ananthacorus,Pteridaceae,Polypodiales
Anetium,Pteridaceae,Polypodiales
Anogramma,Pteridaceae,Polypodiales
Anopteris,Pteridaceae,Polypodiales
Antrophyum,Pteridaceae,Polypodiales
Argyrochosma,Pteridaceae,Polypodiales
Aspidotis,Pteridaceae,Polypodiales
Astrolepis,Pteridaceae,Polypodiales
Austrogramme,Pteridaceae,Polypodiales
Bommeria,Pteridaceae,Polypodiales
Cassebeera,Pteridaceae,Polypodiales
Ceratopteris,Pteridaceae,Polypodiales
Cerosora,Pteridaceae,Polypodiales
Cheilanthes,Pteridaceae,Polypodiales
Cheiloplecton,Pteridaceae,Polypodiales
Coniogramme,Pteridaceae,Polypodiales
Cosentinia,Pteridaceae,Polypodiales
Cryptogramma,Pteridaceae,Polypodiales
Doryopteris,Pteridaceae,Polypodiales
Eriosorus,Pteridaceae,Polypodiales
Haplopteris,Pteridaceae,Polypodiales
Hecistopteris,Pteridaceae,Polypodiales
Hemionitis,Pteridaceae,Polypodiales
Holcochlaena,Pteridaceae,Polypodiales
Jamesonia,Pteridaceae,Polypodiales
Leptolepidium,Pteridaceae,Polypodiales
Llavea,Pteridaceae,Polypodiales
Mildella,Pteridaceae,Polypodiales
Monogramma,Pteridaceae,Polypodiales
Nephopteris,Pteridaceae,Polypodiales
Neurocallis,Pteridaceae,Polypodiales
Notholaena,Pteridaceae,Polypodiales
Ochropteris,Pteridaceae,Polypodiales
Onychium,Pteridaceae,Polypodiales
Paraceterach,Pteridaceae,Polypodiales
Parahemionitis,Pteridaceae,Polypodiales
Pellaea,Pteridaceae,Polypodiales
Pentagramma,Pteridaceae,Polypodiales
Pityrogramma,Pteridaceae,Polypodiales
Platyloma,Pteridaceae,Polypodiales
Platyzoma,Pteridaceae,Polypodiales
Polytaenium,Pteridaceae,Polypodiales
Pteris,Pteridaceae,Polypodiales
Pterozonium,Pteridaceae,Polypodiales
Radiovittaria,Pteridaceae,Polypodiales
Rheopteris,Pteridaceae,Polypodiales
Scleroglossum,Pteridaceae,Polypodiales
Scoliosorus,Pteridaceae,Polypodiales
Syngramma,Pteridaceae,Polypodiales
Taenitis,Pteridaceae,Polypodiales
Trachypteris,Pteridaceae,Polypodiales
Vittaria,Pteridaceae,Polypodiales
Vittoria,Pteridaceae,Polypodiales
Orthiopteris,Saccolomataceae,Polypodiales
Saccoloma,Saccolomataceae,Polypodiales
Aenigmopteris,Tectariaceae,Polypodiales
Arthropteris,Tectariaceae,Polypodiales
Cionidium,Tectariaceae,Polypodiales
Heterogonium,Tectariaceae,Polypodiales
Hypoderris,Tectariaceae,Polypodiales
Pleocnemia,Tectariaceae,Polypodiales
Psammiosorus,Tectariaceae,Polypodiales
Psomiocarpa,Tectariaceae,Polypodiales
Pteridrys,Tectariaceae,Polypodiales
Tectaria,Tectariaceae,Polypodiales
Triplophyllum,Tectariaceae,Polypodiales
Ampelopteris,Thelypteridaceae,Polypodiales
Amphineuron,Thelypteridaceae,Polypodiales
Chingia,Thelypteridaceae,Polypodiales
Christella,Thelypteridaceae,Polypodiales
Cyclogramma,Thelypteridaceae,Polypodiales
Cyclosorus,Thelypteridaceae,Polypodiales
Macrothelypteris,Thelypteridaceae,Polypodiales
Oreopteris,Thelypteridaceae,Polypodiales
Phegopteris,Thelypteridaceae,Polypodiales
Pneumatopteris,Thelypteridaceae,Polypodiales
Pronephrium,Thelypteridaceae,Polypodiales
Pseudophegopteris,Thelypteridaceae,Polypodiales
Sphaerostephanos,Thelypteridaceae,Polypodiales
Thelypteris,Thelypteridaceae,Polypodiales
Acystopteris,Woodsiaceae,Polypodiales
Athyrium,Woodsiaceae,Polypodiales
Cheilanthopsis,Woodsiaceae,Polypodiales
Cornopteris,Woodsiaceae,Polypodiales
Cystopteris,Woodsiaceae,Polypodiales
Deparia,Woodsiaceae,Polypodiales
Diplaziopsis,Woodsiaceae,Polypodiales
Diplazium,Woodsiaceae,Polypodiales
Gymnocarpium,Woodsiaceae,Polypodiales
Hemidictyum,Woodsiaceae,Polypodiales
Homalosorus,Woodsiaceae,Polypodiales
Lunathyrium,Woodsiaceae,Polypodiales
Protowoodsia,Woodsiaceae,Polypodiales
Pseudocystopteris,Woodsiaceae,Polypodiales
Rhachidosorus,Woodsiaceae,Polypodiales
Woodsia,Woodsiaceae,Polypodiales
Psilotum,Psilotaceae,Psilotales
Tmesipteris,Psilotaceae,Psilotales
Marsilea,Marsileaceae,Salviniales
Pilularia,Marsileaceae,Salviniales
Regnellidium,Marsileaceae,Salviniales
Azolla,Salviniaceae,Salviniales
Salvinia,Salviniaceae,Salviniales
Anemia,Anemiaceae,Schizaeales
Lygodium,Lygodiaceae,Schizaeales
Actinostachys,Schizaeaceae,Schizaeales
Mohria,Schizaeaceae,Schizaeales
Schizaea,Schizaeaceae,Schizaeales
Selaginella,Selaginellaceae,Selaginellales
Ochyraea,Amblystegiaceae,
Sphenolobus,Anastrophyllaceae,
Pleuropus,Brachytheciaceae,
Leucophanes,Calymperaceae,
Calypogeia,Calypogeiaceae,
Chorisodontium,Dicranaceae,
Goniomitrium,Funariaceae,
Rhytidium,Hylocomiaceae,
Leiocolea,Jungermanniaceae,
Aphanolejeunea,Lejeuneaceae,
Colura,Lejeuneaceae,
Marchesinia,Lejeuneaceae,
Alectoria,Parmeliaceae,
Pleurotus,Pleurotaceae,
Edmundoa,,
Guringalia,,
Lefeburia,,
Saropsis,,
Allosorus,Adiantaceae,Polypodiales
Aspleniopsis,Adiantaceae,Polypodiales
Ceropteris,Adiantaceae,Polypodiales
Cheilosoria,Adiantaceae,Polypodiales
Choristosoria,Adiantaceae,Polypodiales
Chrysochosma,Adiantaceae,Polypodiales
Eriosonia,Adiantaceae,Polypodiales
Gymnogramma,Adiantaceae,Polypodiales
Gymnopteris,Adiantaceae,Polypodiales
Hemionanthes,Adiantaceae,Polypodiales
Holttumia,Adiantaceae,Polypodiales
Myriopteris,Adiantaceae,Polypodiales
Neurosoria,Adiantaceae,Polypodiales
Oeosporangium,Adiantaceae,Polypodiales
Pityromeria,Adiantaceae,Polypodiales
Platytaenia,Adiantaceae,Polypodiales
Psilogramme,Adiantaceae,Polypodiales
Schizolepton,Adiantaceae,Polypodiales
Syngrammatopsis,Adiantaceae,Polypodiales
Trichiogramme,Adiantaceae,Polypodiales
Acropteris,Aspleniaceae,Polypodiales
Antigramma,Aspleniaceae,Polypodiales
Asplenidictyum,Aspleniaceae,Polypodiales
Boniniella,Aspleniaceae,Polypodiales
Caenopteris,Aspleniaceae,Polypodiales
Camptosorus,Aspleniaceae,Polypodiales
Ceterachopsis,Aspleniaceae,Polypodiales
Chamaefilix,Aspleniaceae,Polypodiales
Darea,Aspleniaceae,Polypodiales
Eremopodium,Aspleniaceae,Polypodiales
Holodictyum,Aspleniaceae,Polypodiales
Micropodium,Aspleniaceae,Polypodiales
Neottopteris,Aspleniaceae,Polypodiales
Phyllitis,Aspleniaceae,Polypodiales
Phyllitopsis,Aspleniaceae,Polypodiales
Schaffneria,Aspleniaceae,Polypodiales
Scolopendrium,Aspleniaceae,Polypodiales
Stormesia,Aspleniaceae,Polypodiales
Tarachia,Aspleniaceae,Polypodiales
Triphlebia,Aspleniaceae,Polypodiales
XAsplenosorus,Aspleniaceae,Polypodiales
Blechnidium,Blechnaceae,Polypodiales
Blechnopsis,Blechnaceae,Polypodiales
Chieniopteris,Blechnaceae,Polypodiales
Diploblechnum,Blechnaceae,Polypodiales
Distaxia,Blechnaceae,Polypodiales
Lomaria,Blechnaceae,Polypodiales
Lonchitis-aspera,Blechnaceae,Polypodiales
Lorinseria,Blechnaceae,Polypodiales
Mesothema,Blechnaceae,Polypodiales
Orthogramma,Blechnaceae,Polypodiales
Parablechnum,Blechnaceae,Polypodiales
Spicanta,Blechnaceae,Polypodiales
Amphicosmia,Cyatheaceae,Cyatheales
Cnemidaria,Cyatheaceae,Cyatheales
Cormophyllum,Cyatheaceae,Cyatheales
Fourniera,Cyatheaceae,Cyatheales
Gymnosphaera,Cyatheaceae,Cyatheales
Hemitelia,Cyatheaceae,Cyatheales
Nephelea,Cyatheaceae,Cyatheales
Schizocaena,Cyatheaceae,Cyatheales
Thysanobotrya,Cyatheaceae,Cyatheales
Trichipteris,Cyatheaceae,Cyatheales
Araiostegiella,Davalliaceae,Polypodiales
Humata,Davalliaceae,Polypodiales
Paradavallodes,Davalliaceae,Polypodiales
Scyphularia,Davalliaceae,Polypodiales
Trogostolon,Davalliaceae,Polypodiales
Adectum,Dennstaedtiaceae,Polypodiales
Costaricia,Dennstaedtiaceae,Polypodiales
Emodiopteris,Dennstaedtiaceae,Polypodiales
Filix-foemina,Dennstaedtiaceae,Polypodiales
Humblotiella,Dennstaedtiaceae,Polypodiales
Ithycaulon,Dennstaedtiaceae,Polypodiales
Lindsaenium,Dennstaedtiaceae,Polypodiales
Lindsaya,Dennstaedtiaceae,Polypodiales
Monachosorella,Dennstaedtiaceae,Polypodiales
Odontoloma,Dennstaedtiaceae,Polypodiales
Ornithopteris,Dennstaedtiaceae,Polypodiales
Paradennstaedtia,Dennstaedtiaceae,Polypodiales
Patania,Dennstaedtiaceae,Polypodiales
Sambirania,Dennstaedtiaceae,Polypodiales
Schizolegnia,Dennstaedtiaceae,Polypodiales
Schizoloma,Dennstaedtiaceae,Polypodiales
Synaphlebium,Dennstaedtiaceae,Polypodiales
Balantium,Dicksoniaceae,Cyatheales
Panicularia,Dicksoniaceae,Cyatheales
Acropelta,Dryopteridaceae,Polypodiales
Arcypteris,Dryopteridaceae,Polypodiales
Aspidium,Dryopteridaceae,Polypodiales
Atalopteris,Dryopteridaceae,Polypodiales
Bathmium,Dryopteridaceae,Polypodiales
Byrsopteris,Dryopteridaceae,Polypodiales
Chlamydogramme,Dryopteridaceae,Polypodiales
Ctenitopsis,Dryopteridaceae,Polypodiales
Diacalpe,Dryopteridaceae,Polypodiales
Dracoglossum,Dryopteridaceae,Polypodiales
Dryomenis,Dryopteridaceae,Polypodiales
Fadyenia,Dryopteridaceae,Polypodiales
Filix,Dryopteridaceae,Polypodiales
Hemigramma,Dryopteridaceae,Polypodiales
Lenda,Dryopteridaceae,Polypodiales
Leptorumohra,Dryopteridaceae,Polypodiales
Lophodium,Dryopteridaceae,Polypodiales
Microbrochis,Dryopteridaceae,Polypodiales
Monochlaena,Dryopteridaceae,Polypodiales
Monogonia,Dryopteridaceae,Polypodiales
Nephrodium,Dryopteridaceae,Polypodiales
Nothoperanema,Dryopteridaceae,Polypodiales
Phanerophlebiopsis,Dryopteridaceae,Polypodiales
Pleuroderris,Dryopteridaceae,Polypodiales
Proferea,Dryopteridaceae,Polypodiales
Pseudotectaria,Dryopteridaceae,Polypodiales
Sagenia,Dryopteridaceae,Polypodiales
Sorolepidium,Dryopteridaceae,Polypodiales
Stenosemia,Dryopteridaceae,Polypodiales
XPleuroderris,Dryopteridaceae,Polypodiales
Allostelites,Equisetaceae,Equisetales
Hippochaete,Equisetaceae,Equisetales
Gleicheniastrum,Gleicheniaceae,Gleicheniales
Glyphotaenium,Grammitidaceae,Polypodiales
Lomaphlebia,Grammitidaceae,Polypodiales
Nematopteris,Grammitidaceae,Polypodiales
Oreogrammitis,Grammitidaceae,Polypodiales
Stenofilix,Grammitidaceae,Polypodiales
Buesia,Hymenophyllaceae,Hymenophyllales
Cardiomanes,Hymenophyllaceae,Hymenophyllales
Craspedoneuron,Hymenophyllaceae,Hymenophyllales
Craspedophyllum,Hymenophyllaceae,Hymenophyllales
Feea,Hymenophyllaceae,Hymenophyllales
Gonocormus,Hymenophyllaceae,Hymenophyllales
Hemiphlebium,Hymenophyllaceae,Hymenophyllales
Hymenoglossum,Hymenophyllaceae,Hymenophyllales
Lacostea,Hymenophyllaceae,Hymenophyllales
Lacosteopsis,Hymenophyllaceae,Hymenophyllales
Mecodium,Hymenophyllaceae,Hymenophyllales
Meringium,Hymenophyllaceae,Hymenophyllales
Microgonium,Hymenophyllaceae,Hymenophyllales
Mortoniopteris,Hymenophyllaceae,Hymenophyllales
Pleuromanes,Hymenophyllaceae,Hymenophyllales
Pteromanes,Hymenophyllaceae,Hymenophyllales
Ptilophyllum,Hymenophyllaceae,Hymenophyllales
Ptychophyllum,Hymenophyllaceae,Hymenophyllales
Reediella,Hymenophyllaceae,Hymenophyllales
Rosenstockia,Hymenophyllaceae,Hymenophyllales
Selanodesmium,Hymenophyllaceae,Hymenophyllales
Sphaerocionium,Hymenophyllaceae,Hymenophyllales
Trigonophyllum,Hymenophyllaceae,Hymenophyllales
HYmenophyllopsis,Hymenophyllopsidaceae,Hymenophyllales
Calamaria,Isoetaceae,Isoetales
Cephaloceraton,Isoetaceae,Isoetales
Isoetella,Isoetaceae,Isoetales
Anapausia,Lomariopsidaceae,Polypodiales
Egenolfia,Lomariopsidaceae,Polypodiales
Heteroneurum,Lomariopsidaceae,Polypodiales
Lepidoneuron,Lomariopsidaceae,Polypodiales
Microstaphyla,Lomariopsidaceae,Polypodiales
Peltapteris,Lomariopsidaceae,Polypodiales
Poecilopteris,Lomariopsidaceae,Polypodiales
Austrolycopodium,Lycopodiaceae,Lycopodiales
Dendrolycopodium,Lycopodiaceae,Lycopodiales
Diphasium,Lycopodiaceae,Lycopodiales
Lepidotis,Lycopodiaceae,Lycopodiales
Lycopodiastrum,Lycopodiaceae,Lycopodiales
Lycopodiodes,Lycopodiaceae,Lycopodiales
Lycopodioides,Lycopodiaceae,Lycopodiales
Palhinhaea,Lycopodiaceae,Lycopodiales
Phlegmariurus,Lycopodiaceae,Lycopodiales
Plananthus,Lycopodiaceae,Lycopodiales
Pseudodiphasium,Lycopodiaceae,Lycopodiales
Pseudolycopodiella,Lycopodiaceae,Lycopodiales
Pseudolycopodium,Lycopodiaceae,Lycopodiales
Spinulum,Lycopodiaceae,Lycopodiales
Urostachys,Lycopodiaceae,Lycopodiales
Archangiopteris,Marattiaceae,Marattiales
Danaeopsis,Marattiaceae,Marattiales
Discostegia,Marattiaceae,Marattiales
Eupodium,Marattiaceae,Marattiales
Heterodanaea,Marattiaceae,Marattiales
Ptisana,Marattiaceae,Marattiales
Calamistrum,Marsileaceae,Salviniales
Lemma,Marsileaceae,Salviniales
Botrypus,Ophioglossaceae,Ophioglossales
Rhizoglossum,Ophioglossaceae,Ophioglossales
Sceptridium,Ophioglossaceae,Ophioglossales
Osmundastrum,Osmundaceae,Osmundales
Alcicornium,Polypodiaceae,Polypodiales
Anapeltis,Polypodiaceae,Polypodiales
Anarthropteris,Polypodiaceae,Polypodiales
Apalophlebia,Polypodiaceae,Polypodiales
Chrysopteris,Polypodiaceae,Polypodiales
Craspedaria,Polypodiaceae,Polypodiales
Craspedosorus,Polypodiaceae,Polypodiales
Crypsinopsis,Polypodiaceae,Polypodiales
Ctenopterella,Polypodiaceae,Polypodiales
Cyclophorus,Polypodiaceae,Polypodiales
Dendroconche,Polypodiaceae,Polypodiales
Dendroglossa,Polypodiaceae,Polypodiales
Dictyopteris,Polypodiaceae,Polypodiales
Drymoglossum,Polypodiaceae,Polypodiales
Gyrosorium,Polypodiaceae,Polypodiales
Hemistachyum,Polypodiaceae,Polypodiales
Lemmaphylum,Polypodiaceae,Polypodiales
Lepicystis,Polypodiaceae,Polypodiales
Lepidomicrosorium,Polypodiaceae,Polypodiales
Leucotrichum,Polypodiaceae,Polypodiales
Marginaria,Polypodiaceae,Polypodiales
Metapolypodium,Polypodiaceae,Polypodiales
Microterus,Polypodiaceae,Polypodiales
Myrmecopteris,Polypodiaceae,Polypodiales
Oleandropsis,Polypodiaceae,Polypodiales
Paragramma,Polypodiaceae,Polypodiales
Paraleptochilus,Polypodiaceae,Polypodiales
Paraselliguea,Polypodiaceae,Polypodiales
Pessopteris,Polypodiaceae,Polypodiales
Photinopteris,Polypodiaceae,Polypodiales
Phymatodes,Polypodiaceae,Polypodiales
Phymatopsis,Polypodiaceae,Polypodiales
