number.of.species,genus,family,apweb.family,order,group
2,Acorus,Acoraceae,Acoraceae,Acorales,Angiosperms
1,Albidella,Alismataceae,Alismataceae,Alismatales,Angiosperms
8,Alisma,Alismataceae,Alismataceae,Alismatales,Angiosperms
1,Astonia,Alismataceae,Alismataceae,Alismatales,Angiosperms
3,Baldellia,Alismataceae,Alismataceae,Alismatales,Angiosperms
1,Burnatia,Alismataceae,Alismataceae,Alismatales,Angiosperms
1,Butomopsis,Alismataceae,Alismataceae,Alismatales,Angiosperms
5,Caldesia,Alismataceae,Alismataceae,Alismatales,Angiosperms
6,Damasonium,Alismataceae,Alismataceae,Alismatales,Angiosperms
30,Echinodorus,Alismataceae,Alismataceae,Alismatales,Angiosperms
3,Helanthium,Alismataceae,Alismataceae,Alismatales,Angiosperms
5,Hydrocleys,Alismataceae,Alismataceae,Alismatales,Angiosperms
2,Limnocharis,Alismataceae,Alismataceae,Alismatales,Angiosperms
3,Limnophyton,Alismataceae,Alismataceae,Alismatales,Angiosperms
1,Luronium,Alismataceae,Alismataceae,Alismatales,Angiosperms
4,Ranalisma,Alismataceae,Alismataceae,Alismatales,Angiosperms
39,Sagittaria,Alismataceae,Alismataceae,Alismatales,Angiosperms
3,Wiesneria,Alismataceae,Alismataceae,Alismatales,Angiosperms
57,Aponogeton,Aponogetonaceae,Aponogetonaceae,Alismatales,Angiosperms
1,Ouvirandra,Aponogetonaceae,Aponogetonaceae,Alismatales,Angiosperms
1,Aglaodorum,Araceae,Araceae,Alismatales,Angiosperms
22,Aglaonema,Araceae,Araceae,Alismatales,Angiosperms
2,Alloschemone,Araceae,Araceae,Alismatales,Angiosperms
80,Alocasia,Araceae,Araceae,Alismatales,Angiosperms
1,Ambrosina,Araceae,Araceae,Alismatales,Angiosperms
198,Amorphophallus,Araceae,Araceae,Alismatales,Angiosperms
5,Amydrium,Araceae,Araceae,Alismatales,Angiosperms
12,Anadendrum,Araceae,Araceae,Alismatales,Angiosperms
3,Anaphyllopsis,Araceae,Araceae,Alismatales,Angiosperms
2,Anaphyllum,Araceae,Araceae,Alismatales,Angiosperms
6,Anchomanes,Araceae,Araceae,Alismatales,Angiosperms
923,Anthurium,Araceae,Araceae,Alismatales,Angiosperms
8,Anubias,Araceae,Araceae,Alismatales,Angiosperms
12,Apoballis,Araceae,Araceae,Alismatales,Angiosperms
10,Aridarum,Araceae,Araceae,Alismatales,Angiosperms
2,Ariopsis,Araceae,Araceae,Alismatales,Angiosperms
180,Arisaema,Araceae,Araceae,Alismatales,Angiosperms
3,Arisarum,Araceae,Araceae,Alismatales,Angiosperms
7,Arophyton,Araceae,Araceae,Alismatales,Angiosperms
29,Arum,Araceae,Araceae,Alismatales,Angiosperms
8,Asterostigma,Araceae,Araceae,Alismatales,Angiosperms
2,Bakoa,Araceae,Araceae,Alismatales,Angiosperms
21,Biarum,Araceae,Araceae,Alismatales,Angiosperms
1,Bognera,Araceae,Araceae,Alismatales,Angiosperms
2,Bucephalandra,Araceae,Araceae,Alismatales,Angiosperms
14,Caladium,Araceae,Araceae,Alismatales,Angiosperms
1,Calla,Araceae,Araceae,Alismatales,Angiosperms
1,Callopsis,Araceae,Araceae,Alismatales,Angiosperms
3,Carlephyton,Araceae,Araceae,Alismatales,Angiosperms
10,Cercestis,Araceae,Araceae,Alismatales,Angiosperms
28,Chlorospatha,Araceae,Araceae,Alismatales,Angiosperms
1,Colletogyne,Araceae,Araceae,Alismatales,Angiosperms
8,Colocasia,Araceae,Araceae,Alismatales,Angiosperms
1,Croatiella,Araceae,Araceae,Alismatales,Angiosperms
60,Cryptocoryne,Araceae,Araceae,Alismatales,Angiosperms
28,Culcasia,Araceae,Araceae,Alismatales,Angiosperms
12,Cyrtosperma,Araceae,Araceae,Alismatales,Angiosperms
68,Dieffenbachia,Araceae,Araceae,Alismatales,Angiosperms
2,Dracontioides,Araceae,Araceae,Alismatales,Angiosperms
24,Dracontium,Araceae,Araceae,Alismatales,Angiosperms
2,Dracunculus,Araceae,Araceae,Alismatales,Angiosperms
9,Eminium,Araceae,Araceae,Alismatales,Angiosperms
15,Epipremnum,Araceae,Araceae,Alismatales,Angiosperms
1,Filarum,Araceae,Araceae,Alismatales,Angiosperms
2,Furtadoa,Araceae,Araceae,Alismatales,Angiosperms
1,Gearum,Araceae,Araceae,Alismatales,Angiosperms
5,Gonatopus,Araceae,Araceae,Alismatales,Angiosperms
8,Gorgonidium,Araceae,Araceae,Alismatales,Angiosperms
1,Gymnostachys,Araceae,Araceae,Alismatales,Angiosperms
8,Hapaline,Araceae,Araceae,Alismatales,Angiosperms
1,Helicodiceros,Araceae,Araceae,Alismatales,Angiosperms
1,Hestia,Araceae,Araceae,Alismatales,Angiosperms
17,Heteropsis,Araceae,Araceae,Alismatales,Angiosperms
1,Holochlamys,Araceae,Araceae,Alismatales,Angiosperms
124,Homalomena,Araceae,Araceae,Alismatales,Angiosperms
1,Incarum,Araceae,Araceae,Alismatales,Angiosperms
1,Jasarum,Araceae,Araceae,Alismatales,Angiosperms
15,Lagenandra,Araceae,Araceae,Alismatales,Angiosperms
2,Lasia,Araceae,Araceae,Alismatales,Angiosperms
1,Lasimorpha,Araceae,Araceae,Alismatales,Angiosperms
14,Lemna,Araceae,Araceae,Alismatales,Angiosperms
2,Lysichiton,Araceae,Araceae,Alismatales,Angiosperms
1,Lysichitum,Araceae,Araceae,Alismatales,Angiosperms
2,Mangonia,Araceae,Araceae,Alismatales,Angiosperms
45,Monstera,Araceae,Araceae,Alismatales,Angiosperms
2,Montrichardia,Araceae,Araceae,Alismatales,Angiosperms
6,Nephthytis,Araceae,Araceae,Alismatales,Angiosperms
2,Ooia,Araceae,Araceae,Alismatales,Angiosperms
1,Orontium,Araceae,Araceae,Alismatales,Angiosperms
1,Pedicellarum,Araceae,Araceae,Alismatales,Angiosperms
2,Peltandra,Araceae,Araceae,Alismatales,Angiosperms
487,Philodendron,Araceae,Araceae,Alismatales,Angiosperms
3,Philonotion,Araceae,Araceae,Alismatales,Angiosperms
1,Phymatarum,Araceae,Araceae,Alismatales,Angiosperms
1,Pichinia,Araceae,Araceae,Alismatales,Angiosperms
9,Pinellia,Araceae,Araceae,Alismatales,Angiosperms
12,Piptospatha,Araceae,Araceae,Alismatales,Angiosperms
1,Pistia,Araceae,Araceae,Alismatales,Angiosperms
1,Podolasia,Araceae,Araceae,Alismatales,Angiosperms
1,Pothoidium,Araceae,Araceae,Alismatales,Angiosperms
58,Pothos,Araceae,Araceae,Alismatales,Angiosperms
1,Protarum,Araceae,Araceae,Alismatales,Angiosperms
7,Pseudodracontium,Araceae,Araceae,Alismatales,Angiosperms
2,Pseudohydrosme,Araceae,Araceae,Alismatales,Angiosperms
2,Pycnospatha,Araceae,Araceae,Alismatales,Angiosperms
4,Remusatia,Araceae,Araceae,Alismatales,Angiosperms
99,Rhaphidophora,Araceae,Araceae,Alismatales,Angiosperms
32,Rhodospatha,Araceae,Araceae,Alismatales,Angiosperms
9,Sauromatum,Araceae,Araceae,Alismatales,Angiosperms
2,Scaphispatha,Araceae,Araceae,Alismatales,Angiosperms
104,Schismatoglottis,Araceae,Araceae,Alismatales,Angiosperms
1,Schottariella,Araceae,Araceae,Alismatales,Angiosperms
35,Scindapsus,Araceae,Araceae,Alismatales,Angiosperms
2,Spathantheum,Araceae,Araceae,Alismatales,Angiosperms
3,Spathicarpa,Araceae,Araceae,Alismatales,Angiosperms
52,Spathiphyllum,Araceae,Araceae,Alismatales,Angiosperms
4,Spirodela,Araceae,Araceae,Alismatales,Angiosperms
54,Stenospermation,Araceae,Araceae,Alismatales,Angiosperms
9,Steudnera,Araceae,Araceae,Alismatales,Angiosperms
19,Stylochaeton,Araceae,Araceae,Alismatales,Angiosperms
3,Stylochiton,Araceae,Araceae,Alismatales,Angiosperms
5,Symplocarpus,Araceae,Araceae,Alismatales,Angiosperms
1,Synandrospadix,Araceae,Araceae,Alismatales,Angiosperms
35,Syngonium,Araceae,Araceae,Alismatales,Angiosperms
6,Taccarum,Araceae,Araceae,Alismatales,Angiosperms
7,Theriophonum,Araceae,Araceae,Alismatales,Angiosperms
68,Typhonium,Araceae,Araceae,Alismatales,Angiosperms
1,Typhonodorum,Araceae,Araceae,Alismatales,Angiosperms
2,Ulearum,Araceae,Araceae,Alismatales,Angiosperms
11,Urospatha,Araceae,Araceae,Alismatales,Angiosperms
11,Wolffia,Araceae,Araceae,Alismatales,Angiosperms
10,Wolffiella,Araceae,Araceae,Alismatales,Angiosperms
76,Xanthosoma,Araceae,Araceae,Alismatales,Angiosperms
1,Zamioculcas,Araceae,Araceae,Alismatales,Angiosperms
8,Zantedeschia,Araceae,Araceae,Alismatales,Angiosperms
3,Zomicarpa,Araceae,Araceae,Alismatales,Angiosperms
2,Zomicarpella,Araceae,Araceae,Alismatales,Angiosperms
2,Butomus,Butomaceae,Butomaceae,Alismatales,Angiosperms
2,Amphibolis,Cymodoceaceae,Cymodoceaceae,Alismatales,Angiosperms
4,Cymodocea,Cymodoceaceae,Cymodoceaceae,Alismatales,Angiosperms
6,Halodule,Cymodoceaceae,Cymodoceaceae,Alismatales,Angiosperms
2,Syringodium,Cymodoceaceae,Cymodoceaceae,Alismatales,Angiosperms
2,Thalassodendron,Cymodoceaceae,Cymodoceaceae,Alismatales,Angiosperms
1,Appertiella,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
12,Blyxa,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
3,Egeria,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
6,Elodea,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
1,Enhalus,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
20,Halophila,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
1,Hydrilla,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
3,Hydrocharis,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
9,Lagarosiphon,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
2,Limnobium,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
38,Najas,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
1,Nechamandra,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
19,Ottelia,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
1,Stratiotes,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
2,Thalassia,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
14,Vallisneria,Hydrocharitaceae,Hydrocharitaceae,Alismatales,Angiosperms
8,Cycnogeton,Juncaginaceae,Juncaginaceae,Alismatales,Angiosperms
1,Maundia,Juncaginaceae,Juncaginaceae,Alismatales,Angiosperms
1,Tetroncium,Juncaginaceae,Juncaginaceae,Alismatales,Angiosperms
25,Triglochin,Juncaginaceae,Juncaginaceae,Alismatales,Angiosperms
10,Posidonia,Posidoniaceae,Posidoniaceae,Alismatales,Angiosperms
2,Althenia,Potamogetonaceae,Potamogetonaceae,Alismatales,Angiosperms
1,Groenlandia,Potamogetonaceae,Potamogetonaceae,Alismatales,Angiosperms
6,Lepilaena,Potamogetonaceae,Potamogetonaceae,Alismatales,Angiosperms
94,Potamogeton,Potamogetonaceae,Potamogetonaceae,Alismatales,Angiosperms
7,Stuckenia,Potamogetonaceae,Potamogetonaceae,Alismatales,Angiosperms
7,Zannichellia,Potamogetonaceae,Potamogetonaceae,Alismatales,Angiosperms
8,Ruppia,Ruppiaceae,Ruppiaceae,Alismatales,Angiosperms
1,Scheuchzeria,Scheuchzeriaceae,Scheuchzeriaceae,Alismatales,Angiosperms
11,Isidrogalvia,Tofieldiaceae,Tofieldiaceae,Alismatales,Angiosperms
1,Pleea,Tofieldiaceae,Tofieldiaceae,Alismatales,Angiosperms
12,Tofieldia,Tofieldiaceae,Tofieldiaceae,Alismatales,Angiosperms
4,Triantha,Tofieldiaceae,Tofieldiaceae,Alismatales,Angiosperms
1,Heterozostera,Zosteraceae,Zosteraceae,Alismatales,Angiosperms
6,Phyllospadix,Zosteraceae,Zosteraceae,Alismatales,Angiosperms
16,Zostera,Zosteraceae,Zosteraceae,Alismatales,Angiosperms
1,Amborella,Amborellaceae,Amborellaceae,Amborellales,Angiosperms
45,Aciphylla,Apiaceae,Apiaceae,Apiales,Angiosperms
38,Acronema,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Actinanthus,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Actinolema,Apiaceae,Apiaceae,Apiales,Angiosperms
19,Actinotus,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Adenosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Aegokeras,Apiaceae,Apiaceae,Apiales,Angiosperms
8,Aegopodium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Aethusa,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Aframmi,Apiaceae,Apiaceae,Apiales,Angiosperms
13,Afroligusticum,Apiaceae,Apiaceae,Apiales,Angiosperms
18,Afrosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Afrosison,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Agasyllis,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Agrocharis,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Ainsworthia,Apiaceae,Apiaceae,Apiales,Angiosperms
37,Alepidea,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Aletes,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Alococarpum,Apiaceae,Apiaceae,Apiales,Angiosperms
6,Ammi,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Ammodaucus,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Ammoides,Apiaceae,Apiaceae,Apiales,Angiosperms
5,Ammoselinum,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Andriana,Apiaceae,Apiaceae,Apiales,Angiosperms
4,Anethum,Apiaceae,Apiaceae,Apiales,Angiosperms
116,Angelica,Apiaceae,Apiaceae,Apiales,Angiosperms
13,Anginon,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Angoseseli,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Anisopoda,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Anisosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
15,Anisotome,Apiaceae,Apiaceae,Apiales,Angiosperms
15,Annesorhiza,Apiaceae,Apiaceae,Apiales,Angiosperms
15,Anthriscus,Apiaceae,Apiaceae,Apiales,Angiosperms
5,Aphanopleura,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Apiastrum,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Apiopetalum,Apiaceae,Apiaceae,Apiales,Angiosperms
16,Apium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Apodicarpum,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Arafoe,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Arctopus,Apiaceae,Apiaceae,Apiales,Angiosperms
5,Arcuatopterus,Apiaceae,Apiaceae,Apiales,Angiosperms
41,Arracacia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Artedia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Asciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Asteriscium,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Astomaea,Apiaceae,Apiaceae,Apiales,Angiosperms
11,Astrantia,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Astrodaucus,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Astydamia,Apiaceae,Apiaceae,Apiales,Angiosperms
11,Athamanta,Apiaceae,Apiaceae,Apiales,Angiosperms
24,Aulacospermum,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Austropeucedanum,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Autumnalia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Azilia,Apiaceae,Apiaceae,Apiales,Angiosperms
29,Azorella,Apiaceae,Apiaceae,Apiales,Angiosperms
5,Berula,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Bifora,Apiaceae,Apiaceae,Apiales,Angiosperms
4,Bilacunaria,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Billburttia,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Bolax,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Bonannia,Apiaceae,Apiaceae,Apiales,Angiosperms
16,Bowlesia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Brachyscias,Apiaceae,Apiaceae,Apiales,Angiosperms
50,Bunium,Apiaceae,Apiaceae,Apiales,Angiosperms
207,Bupleurum,Apiaceae,Apiaceae,Apiales,Angiosperms
6,Cachrys,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Calyptrosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Cannaboides,Apiaceae,Apiaceae,Apiales,Angiosperms
4,Capnophyllum,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Carlesia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Caropsis,Apiaceae,Apiaceae,Apiales,Angiosperms
29,Carum,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Caucalis,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Cenolophium,Apiaceae,Apiaceae,Apiales,Angiosperms
53,Centella,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Cephalopodum,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Chaerophyllopsis,Apiaceae,Apiaceae,Apiales,Angiosperms
46,Chaerophyllum,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Chaetosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Chamaele,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Chamaesciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
6,Chamaesium,Apiaceae,Apiaceae,Apiales,Angiosperms
5,Chamarea,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Changium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Chlaenosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Choritaenia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Chuanminshen,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Chymsydia,Apiaceae,Apiaceae,Apiales,Angiosperms
5,Cicuta,Apiaceae,Apiaceae,Apiales,Angiosperms
6,Cnidiocarpa,Apiaceae,Apiaceae,Apiales,Angiosperms
10,Cnidium,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Coaxana,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Cogswellia,Apiaceae,Apiaceae,Apiales,Angiosperms
17,Conioselinum,Apiaceae,Apiaceae,Apiales,Angiosperms
4,Conium,Apiaceae,Apiaceae,Apiales,Angiosperms
8,Conopodium,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Coriandrum,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Cortia,Apiaceae,Apiaceae,Apiales,Angiosperms
4,Cortiella,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Cotopaxia,Apiaceae,Apiaceae,Apiales,Angiosperms
4,Coulterophytum,Apiaceae,Apiaceae,Apiales,Angiosperms
7,Cryptotaenia,Apiaceae,Apiaceae,Apiales,Angiosperms
4,Cuminum,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Cyathoselinum,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Cyclorhiza,Apiaceae,Apiaceae,Apiales,Angiosperms
5,Cyclospermum,Apiaceae,Apiaceae,Apiales,Angiosperms
5,Cymbocarpum,Apiaceae,Apiaceae,Apiales,Angiosperms
52,Cymopterus,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Cynosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Dactylaea,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Dahliaphyllum,Apiaceae,Apiaceae,Apiales,Angiosperms
7,Dasispermum,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Daucosma,Apiaceae,Apiaceae,Apiales,Angiosperms
28,Daucus,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Demavendia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Dethawia,Apiaceae,Apiaceae,Apiales,Angiosperms
8,Deverra,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Dichosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Dickinsia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Dicyclophora,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Dimorphosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Diplaspis,Apiaceae,Apiaceae,Apiales,Angiosperms
7,Diplolophium,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Diplotaenia,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Diposis,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Dipterygia,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Discopleura,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Distichoselinum,Apiaceae,Apiaceae,Apiales,Angiosperms
4,Domeykoa,Apiaceae,Apiaceae,Apiales,Angiosperms
19,Donnellsmithia,Apiaceae,Apiaceae,Apiales,Angiosperms
12,Dorema,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Dracosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Drusa,Apiaceae,Apiaceae,Apiales,Angiosperms
6,Ducrosia,Apiaceae,Apiaceae,Apiales,Angiosperms
4,Dumaniana,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Dystaenia,Apiaceae,Apiaceae,Apiales,Angiosperms
11,Echinophora,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Ekimia,Apiaceae,Apiaceae,Apiales,Angiosperms
5,Elaeoselinum,Apiaceae,Apiaceae,Apiales,Angiosperms
27,Elaeosticta,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Eleutherospermum,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Enantiophylla,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Endressia,Apiaceae,Apiaceae,Apiales,Angiosperms
9,Eremocharis,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Eremodaucus,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Ergocarpon,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Erigenia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Eriosynaphe,Apiaceae,Apiaceae,Apiales,Angiosperms
249,Eryngium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Erythroselinum,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Eurytaenia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Exoacantha,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Ezosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Falcaria,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Fergania,Apiaceae,Apiaceae,Apiales,Angiosperms
208,Ferula,Apiaceae,Apiaceae,Apiales,Angiosperms
46,Ferulago,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Ferulopsis,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Foeniculum,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Frommia,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Froriepia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Fuernrohria,Apiaceae,Apiaceae,Apiales,Angiosperms
4,Galagania,Apiaceae,Apiaceae,Apiales,Angiosperms
8,Geocaryum,Apiaceae,Apiaceae,Apiales,Angiosperms
10,Gingidia,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Glaucosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Glehnia,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Glia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Glochidotheca,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Gongylosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Gongylotaxis,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Grafia,Apiaceae,Apiaceae,Apiales,Angiosperms
8,Grammosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Guillonea,Apiaceae,Apiaceae,Apiales,Angiosperms
6,Gymnophyton,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Hacquetia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Halosciastrum,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Hansenia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Haplosciadium,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Haplosphaera,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Harbouria,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Harrysmithia,Apiaceae,Apiaceae,Apiales,Angiosperms
4,Heptaptera,Apiaceae,Apiaceae,Apiales,Angiosperms
52,Heracleum,Apiaceae,Apiaceae,Apiales,Angiosperms
7,Hermas,Apiaceae,Apiaceae,Apiales,Angiosperms
9,Heteromorpha,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Heteroptilis,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Hladnikia,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Hohenackeria,Apiaceae,Apiaceae,Apiales,Angiosperms
6,Homalocarpus,Apiaceae,Apiaceae,Apiales,Angiosperms
4,Huanaca,Apiaceae,Apiaceae,Apiales,Angiosperms
4,Hyalolaena,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Hymenidium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Hymenolyma,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Indoschulzia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Itasina,Apiaceae,Apiaceae,Apiales,Angiosperms
4,Johrenia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Kadenia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Kafirnigania,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Kalakia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Kamelinia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Karnataka,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Keramocarpus,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Klotzschia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Korovinia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Korshinskia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Korshinskya,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Krasnovia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Krubera,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Kundmannia,Apiaceae,Apiaceae,Apiales,Angiosperms
2,Ladyginia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Lagoecia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Laretia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Laser,Apiaceae,Apiaceae,Apiales,Angiosperms
14,Laserpitium,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Lecokia,Apiaceae,Apiaceae,Apiales,Angiosperms
10,Lefebvrea,Apiaceae,Apiaceae,Apiales,Angiosperms
6,Leiotulus,Apiaceae,Apiaceae,Apiales,Angiosperms
3,Leptotaenia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Lereschia,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Leutea,Apiaceae,Apiaceae,Apiales,Angiosperms
1,Levisticum,Apiaceae,Apiaceae,Apiales,Angiosperms
